,Var1,Var1 name,Var2,Var2 name,Corr
25,t400280_g1D,Fatherís father: Country of birth (Germany/abroad),t400260_g1D,Fatherís mother: country of birth (Germany/abroad),0.8774642890574104
26,p406000_g1,Country of birth of target child (Germany/abroad; edited),t400000_g1D,Country of birth (Germany/abroad),0.874171950453231
27,p406000,Target child born in Germany?,t400000_g1D,Country of birth (Germany/abroad),0.874171950453231
28,t400280_g1D,Fatherís father: Country of birth (Germany/abroad),t400090_g1D,Father: Country of birth (Germany/abroad),0.8729729958360665
29,e537110_g1,Place of study Teaching degree course (West/East),p751001_g1,Place of residence (west/east),0.8720541769562957
30,e537170_g1,Location: passed the state examination (West/East),p751001_g1,Place of residence (west/east),0.8661886176154515
31,p413040,Ability to speak German Interviewed Parent (auto variable),p413000_g1D,First language/mother tongue Respondent (German/not German),0.8612712175085855
32,e537030_D,Federal state higher education entrance qualification (West/East),p751001_g1,Place of residence (west/east),0.8604559923793865
33,e537126,Activity before teaching degree course - another training program started,e537127,Activity before teaching degree course - another training program completed,0.8557881011447965
34,p400000,Respondent born in Germany?,p413000_g1D,First language/mother tongue Respondent (German/not German),0.8433955951171607
35,p400000_g1,Country of birth Respondent (Germany/abroad; edited),p413000_g1D,First language/mother tongue Respondent (German/not German),0.8433955951171607
36,p401110,Citizenship Respondent German since birth,p413000_g1D,First language/mother tongue Respondent (German/not German),0.8381512113802467
37,p400000,Respondent born in Germany?,t400070_g1D,Mother: Country of birth (Germany/abroad),0.8333376585616662
38,p400000_g1,Country of birth Respondent (Germany/abroad; edited),t400070_g1D,Mother: Country of birth (Germany/abroad),0.8333376585616662
39,t400220_g1D,Motherís mother: country of birth (Germany/abroad),t400070_g1D,Mother: Country of birth (Germany/abroad),0.831187863090755
40,e537124,Activity before teaching degree course - vocational training started,e537125,Activity before teaching degree course - vocational training completed,0.829273483535442
41,t400260_g1D,Fatherís mother: country of birth (Germany/abroad),t400090_g1D,Father: Country of birth (Germany/abroad),0.822702168009574
42,e229820_D,"Work in profession (years, categorized)",e76212y_D,Year of birth (categorized),0.8107603104195464
43,e537122,Activity before teaching degree course - military/civil service,e762110,Gender,0.809526657479005
44,e229820_D,"Work in profession (years, categorized)",e53702y_D,Year of university entrance qualification (categorized),0.8029929783936179
45,t400240_g1D,Motherís father: Country of birth (Germany/abroad),t400220_g1D,Motherís mother: country of birth (Germany/abroad),0.8026612418724491
46,p400000,Respondent born in Germany?,p413040,Ability to speak German Interviewed Parent (auto variable),0.800122389226608
47,p400000_g1,Country of birth Respondent (Germany/abroad; edited),p413040,Ability to speak German Interviewed Parent (auto variable),0.800122389226608
48,t400070_g1D,Mother: Country of birth (Germany/abroad),p413000_g1D,First language/mother tongue Respondent (German/not German),0.7773241872116864
49,t400220_g1D,Motherís mother: country of birth (Germany/abroad),p413000_g1D,First language/mother tongue Respondent (German/not German),0.7724095965482131
50,e536010,Time Career choice,e536020_D,Age Career choice (categorized),0.7714084213822346
51,p400000_g1,Country of birth Respondent (Germany/abroad; edited),t400220_g1D,Motherís mother: country of birth (Germany/abroad),0.7650658149607633
52,p400000,Respondent born in Germany?,t400220_g1D,Motherís mother: country of birth (Germany/abroad),0.7650658149607633
53,mpg5or01_sc6,Procedural metacognition (orthography set 1): proportion correct,mpg5or02_sc6,Procedural metacognition (orthography set 2): proportion correct,0.7637352965875934
54,p400000_g1,Country of birth Respondent (Germany/abroad; edited),p731801_g1,Highest educational qualification Respondent in Germany (edited),0.7634458912621851
55,p400000_g1,Country of birth Respondent (Germany/abroad; edited),p731801,Highest educational qualification Respondent in Germany,0.7634458912621851
56,p400000,Respondent born in Germany?,p731801_g1,Highest educational qualification Respondent in Germany (edited),0.7634458912621851
57,p400000,Respondent born in Germany?,p731801,Highest educational qualification Respondent in Germany,0.7634458912621851
58,p401110,Citizenship Respondent German since birth,p413040,Ability to speak German Interviewed Parent (auto variable),0.7615662643694378
59,t400240_g1D,Motherís father: Country of birth (Germany/abroad),t400070_g1D,Mother: Country of birth (Germany/abroad),0.7534676106629878
60,p400000_g1,Country of birth Respondent (Germany/abroad; edited),p401110,Citizenship Respondent German since birth,0.7471487548614093
61,p400000,Respondent born in Germany?,p401110,Citizenship Respondent German since birth,0.7471487548614093
62,p731802_g3,Highest educational qualification Respondent (education years = fCASMIN),p731813,(Highest) professional qualification Respondent,0.7371129652568075
63,p413000_g1D,First language/mother tongue Respondent (German/not German),p410000_g1D,First language/mother tongue Child (German/not German),0.731805096262729
64,t400280_g1D,Fatherís father: Country of birth (Germany/abroad),t400240_g1D,Motherís father: Country of birth (Germany/abroad),0.7187179047636678
65,t400240_g1D,Motherís father: Country of birth (Germany/abroad),p413000_g1D,First language/mother tongue Respondent (German/not German),0.7174388318946475
66,p413040,Ability to speak German Interviewed Parent (auto variable),t400070_g1D,Mother: Country of birth (Germany/abroad),0.7131677972819728
67,p400000_g1,Country of birth Respondent (Germany/abroad; edited),t400240_g1D,Motherís father: Country of birth (Germany/abroad),0.7053739999034054
68,p400000,Respondent born in Germany?,t400240_g1D,Motherís father: Country of birth (Germany/abroad),0.7053739999034054
69,t400260_g1D,Fatherís mother: country of birth (Germany/abroad),t400220_g1D,Motherís mother: country of birth (Germany/abroad),0.7028704943759507
70,p741001,Size of household,p742001,Persons under the age of 14 in the household,0.7022097041722033
71,p724101,Grade Annual report card German,t724101,Grade Annual report card - German,0.7016659748579289
